0 0;{'connectivity': None, 'data_seed': 0, 'ds': 'complex9', 'linkage': 'single', 'method': 'agglomerative', 'n_clusters': 8, 'sampling': 'kcentroid', 'size': 0.25, 'supervised': True};0.28976757211929344;515
1 0;{'connectivity': 'kneighbors_graph', 'data_seed': 0, 'ds': 'complex9', 'linkage': 'single', 'method': 'agglomerative', 'n_clusters': 8, 'sampling': 'kcentroid', 'size': 0.25, 'supervised': True, 'n_neighbors': 30};0.28976757211929344;608
2 0;{'connectivity': 'kneighbors_graph', 'data_seed': 0, 'ds': 'complex9', 'linkage': 'single', 'method': 'agglomerative', 'n_clusters': 8, 'sampling': 'kcentroid', 'size': 0.25, 'supervised': True, 'n_neighbors': 66};0.28976757211929344;454
0 1;{'connectivity': None, 'data_seed': 1, 'ds': 'complex9', 'linkage': 'single', 'method': 'agglomerative', 'n_clusters': 10, 'sampling': 'kcentroid', 'size': 0.25, 'supervised': True};0.002549673326665736;395
1 1;{'connectivity': None, 'data_seed': 1, 'ds': 'complex9', 'linkage': 'single', 'method': 'agglomerative', 'n_clusters': 10, 'sampling': 'kcentroid', 'size': 0.25, 'supervised': True};0.002549673326665736;351
2 1;{'connectivity': None, 'data_seed': 1, 'ds': 'complex9', 'linkage': 'single', 'method': 'agglomerative', 'n_clusters': 10, 'sampling': 'kcentroid', 'size': 0.25, 'supervised': True};0.002549673326665736;152
0 2;{'connectivity': 'kneighbors_graph', 'data_seed': 2, 'ds': 'complex9', 'linkage': 'single', 'method': 'agglomerative', 'n_clusters': 9, 'sampling': 'kcentroid', 'size': 0.25, 'supervised': True, 'n_neighbors': 16};-1.3322676295501878e-16;551
1 2;{'connectivity': 'kneighbors_graph', 'data_seed': 2, 'ds': 'complex9', 'linkage': 'single', 'method': 'agglomerative', 'n_clusters': 9, 'sampling': 'kcentroid', 'size': 0.25, 'supervised': True, 'n_neighbors': 28};-1.3322676295501878e-16;203
2 2;{'connectivity': 'kneighbors_graph', 'data_seed': 2, 'ds': 'complex9', 'linkage': 'single', 'method': 'agglomerative', 'n_clusters': 9, 'sampling': 'kcentroid', 'size': 0.25, 'supervised': True, 'n_neighbors': 1};-1.3322676295501878e-16;297
